,gene,time
0,YAL068C,2.4371171878976825
1,YAL063C,2.9422505284748075
2,YAL058W,3.7275101246669258
3,YAL053W,3.072868198656713
4,YAR002C-A,2.789199000783639
5,YAR023C,3.38093195116594
6,YAR050W,2.887774972785868
7,YAR066W,2.824697850773954
8,YAR071W,2.916559568894832
9,YBL020W,3.233362612653807
10,YBL017C,3.0858029689263224
11,YBR013C,2.9084535602872132
12,YBR015C,3.1483790105127087
13,YBR036C,3.3177015715490676
14,YBR067C,2.57694674028475
15,YBR078W,4.445791484349986
16,YBR092C,2.645436478631777
17,YBR093C,2.7362073410308736
18,YBR139W,3.163692122757885
19,YBR162C,2.469274602591298
20,YBR187W,3.1199437984211613
21,YBR205W,3.092156539078087
22,YBR210W,2.9388920560977265
23,YBR229C,2.8832975942654557
24,YBR286W,2.913518304961251
25,YBR293W,3.2854337648471255
26,YBR301W,2.436209014335624
27,YBR302C,2.8484723016793576
28,YCL049C,2.501748435483923
29,YCL048W-A,3.1178476584615393
30,YCL048W,3.1074237409116305
31,YCL045C,2.7522667262924987
32,YCL043C,2.8104377872173734
33,YCL012C,4.546503095963614
34,YCR011C,2.9936121133985587
35,YCR044C,2.888458836911682
36,YCR045C,2.9969619576008193
37,YCR069W,3.1080725240077065
38,YCR089W,2.9610165525683936
39,YCR104W,2.713440887302222
40,YDL248W,2.9265894624111395
41,YDL237W,2.811609636284234
42,YDL212W,2.860847142756774
43,YDL052C,2.8896026249938354
44,YDL049C,3.052989396369844
45,YDL046W,2.588679417167457
46,YDL024C,2.994422009042619
47,YDL018C,2.8121084965850494
48,YDR055W,2.5838008319723853
49,YDR056C,2.894082338868458
50,YDR057W,3.1757162895365783
51,YDR077W,2.918271455612199
52,YDR107C,2.754197552137492
53,YDR144C,3.243821834053821
54,YDR221W,2.9955018568400296
55,YDR236C,3.1231792056116396
56,YDR261C,3.06174320645589
57,YDR262W,3.2112627388161457
58,YDR294C,2.952139861515504
59,YDR302W,2.5874908420660017
60,YDR304C,2.8774510563717053
61,YDR331W,3.3555215869103607
62,YDR349C,3.149583677936639
63,YDR415C,2.876557661211494
64,YDR420W,3.2158681956738424
65,YDR483W,3.0097975327772533
66,YDR518W,2.8695087761740004
67,YDR519W,2.8378359379601017
68,YDR534C,2.9326012902330034
69,YDR536W,2.826384465099258
70,YDR542W,2.4289348115335616
71,YEL060C,3.2697220268569183
72,YEL049W,2.4919316805102927
73,YEL040W,2.855349907389446
74,YEL031W,2.602527865325905
75,YEL002C,2.642826391941889
76,YEL001C,2.826903385671695
77,YER011W,2.5974677456608033
78,YER076C,3.039862789000199
79,YER150W,2.914280293177931
80,YFL051C,2.992937483685196
81,YFL048C,2.8746971191504707
82,YFL041W,2.737137885748827
83,YFL040W,3.3652473118759887
84,YFL026W,2.865387571583072
85,YFL020C,2.6140214230242917
86,YFR041C,3.0858297649153887
87,YGL261C,2.4289348115335616
88,YGL259W,3.3573670232124533
89,YGL203C,3.119649084927204
90,YGL200C,3.202320648190062
91,YGL139W,2.6364755477979602
92,YGL089C,2.8277694531457356
93,YGL054C,2.6935313165827375
94,YGL032C,3.0590962570350744
95,YGL028C,2.9014979584281413
96,YGL027C,2.93289711403174
97,YGL002W,3.1185310003835007
98,YGR014W,3.0603525584475846
99,YGR023W,3.132809865801578
100,YGR106C,2.4840008440694814
101,YGR189C,2.8875837644450235
102,YGR279C,2.5920948528898866
103,YGR282C,2.4545583368384434
104,YGR294W,2.4352140992561484
105,YHL048W,3.112142361756596
106,YHL046C,2.609104631172072
107,YHL042W,3.0189273350616426
108,YHL028W,3.783328363775844
109,YHL017W,2.9979395393219863
110,YHR057C,3.0066996257121565
111,YHR078W,3.060382578934633
112,YHR079C,2.870084042488269
113,YHR101C,2.9031666107398046
114,YHR110W,3.0720553663604475
115,YHR126C,3.356272492204835
116,YHR132C,3.2430252305260607
117,YHR139C,2.401855283840089
118,YHR143W,2.706719409217103
119,YHR151C,3.7835186292615597
120,YHR188C,3.437783504776595
121,YHR202W,3.2820872350096555
122,YHR204W,2.8837264123481194
123,YHR215W,2.916559568894832
124,YIL176C,2.436122272818207
125,YIL173W,3.372620987646935
126,YIL169C,2.5690730195916904
127,YIL162W,3.3074197540565806
128,YIL140W,3.3494610905974738
129,YIL123W,2.8951015342602164
130,YIL090W,2.6095739931509963
131,YIL015W,2.864835327202705
132,YIL014W,2.6040354247507027
133,YIL011W,2.498685888389697
134,YIL005W,3.708028760080532
135,YIR019C,2.686969992151137
136,YIR022W,3.098346563192921
137,YIR039C,3.3573670232124533
138,YIR041W,2.6896935603081893
139,YJL223C,2.436122272818207
140,YJL222W,3.372620987646935
141,YJL193W,3.102072682581942
142,YJL192C,3.031215293860282
143,YJL178C,3.14085834501578
144,YJL174W,2.752458329929292
145,YJL171C,3.1204223495214656
146,YJL159W,2.906142819325627
147,YJL158C,2.508698771778936
148,YJL132W,3.120090051764915
149,YJL129C,3.2187806176466722
150,YJL079C,2.670558605541797
151,YJL078C,3.1207175760008767
152,YJL037W,2.8527862136335003
153,YJL002C,3.151488647201768
154,YJR004C,3.1872656560966353
155,YJR073C,3.346290090536509
156,YJR075W,3.0944513710348795
157,YJR118C,2.620229463529761
158,YJR150C,2.7258180231397553
159,YJR151C,3.3328880779236507
160,YJR153W,3.1556690341483784
161,YKL224C,2.6896935603081893
162,YKL220C,2.9166553071596866
163,YKL178C,3.2801600476554698
164,YKL164C,2.464201507793208
165,YKL163W,2.7893913112932442
166,YKL096W-A,2.445194847302144
167,YKL096W,2.839016204894651
168,YKL077W,2.742850191605375
169,YKL073W,3.339595038824638
170,YKL046C,3.340335772073729
171,YKL039W,2.988162654942584
172,YKR005C,3.6453154472192164
173,YKR013W,2.938695189679368
174,YKR042W,2.2198593718856996
175,YKR061W,3.04057039604513
176,YKR102W,3.040623939742799
177,YLL064C,2.436122272818207
178,YLL052C,3.293142760894688
179,YLL051C,3.1243142033816795
180,YLL025W,2.470642300564208
181,YLR001C,3.195881866785152
182,YLR037C,2.4789919063514865
183,YLR040C,2.650251456679669
184,YLR042C,2.4840024139978363
185,YLR057W,3.337227620426032
186,YLR064W,2.9329434971517516
187,YLR080W,3.1269952618314
188,YLR083C,2.699653557668972
189,YLR084C,2.9600439395637017
190,YLR110C,2.5330280860204666
191,YLR120C,3.195670418658261
192,YLR121C,2.828853446715269
193,YLR155C,2.848592445344086
194,YLR194C,2.9162017545677
195,YLR207W,3.131303152632213
196,YLR213C,3.291468736103614
197,YLR214W,3.0085066396224045
198,YLR237W,2.412997337638297
199,YLR250W,2.8486697241705783
200,YLR286C,2.5385172376482514
201,YLR300W,2.7730047826023543
202,YLR307W,3.1958716758215275
203,YLR308W,2.9296346685014094
204,YLR332W,2.9858172971912724
205,YLR343W,3.3289733127316663
206,YLR390W-A,2.560442213284151
207,YLR461W,2.4289348115335616
208,YML130C,2.8855483460166376
209,YML128C,4.0868940099454685
210,YML059C,2.7679854719499204
211,YML038C,2.9534512199501135
212,YML012W,3.1385154471977637
213,YMR006C,2.918812292258872
214,YMR008C,2.9140717248262034
215,YMR010W,3.0250263993729147
216,YMR013C,2.8467299503655665
217,YMR065W,2.9150912607402226
218,YMR149W,2.783197734388632
219,YMR155W,3.0319529043254523
220,YMR200W,3.2208463773526215
221,YMR214W,3.1654894442229455
222,YMR215W,3.021441070622331
223,YMR238W,3.610802337244169
224,YMR244W,3.3046218146955977
225,YMR297W,3.0218748220825766
226,YMR305C,2.8089583791340953
227,YMR307W,2.709854037161522
228,YMR325W,2.713440887302222
229,YNL336W,2.853697438735532
230,YNL327W,3.091052300016443
231,YNL322C,2.637211886539147
232,YNL305C,3.7930080553139343
233,YNL300W,2.4727508572146117
234,YNL291C,3.2635804503726864
235,YNL283C,2.9466950816832
236,YNL238W,3.2224203897831285
237,YNL237W,3.28809492064468
238,YNL219C,2.92576047200017
239,YNL190W,2.595584503217792
240,YNL160W,2.617531546098443
241,YNL158W,3.072308098861025
242,YNL066W,2.564910597347464
243,YNL033W,2.9795660837024585
244,YNL019C,2.9795660837024585
245,YNL012W,3.2583548204557875
246,YNR028W,3.2912366125115895
247,YNR044W,3.215234505900747
248,YNR060W,3.511331167491535
249,YNR066C,3.2891049343450107
250,YNR067C,3.142717244155481
251,YNR075W,2.926406925385858
252,YOL161C,2.436122272818207
253,YOL155C,2.937738794334812
254,YOL154W,2.9173145559871596
255,YOL132W,3.0286506320941466
256,YOL107W,2.7978322338792943
257,YOL105C,3.354478240849863
258,YOL088C,2.8932107705222063
259,YOL031C,3.3239676369330433
260,YOL030W,2.828060744171651
261,YOL011W,2.8598205292336476
262,YOL007C,2.8861896457599028
263,YOR003W,3.18408046765119
264,YOR008C,2.7516822061147983
265,YOR009W,2.808207648325284
266,YOR010C,2.6345277097690847
267,YOR030W,2.7108202053991537
268,YOR071C,2.5224097011539324
269,YOR085W,3.0758037070534394
270,YOR099W,3.1752435144640354
271,YOR137C,3.0138540604595803
272,YOR175C,2.597379172803245
273,YOR190W,3.287731227827398
274,YOR192C,2.895871275833649
275,YOR214C,3.2334292470326127
276,YOR247W,2.847954147433738
277,YOR288C,3.6603673335784435
278,YOR321W,2.9496530523469406
279,YOR336W,2.8089702172912125
280,YOR365C,3.0962673175441964
281,YOR381W,3.2328544112957043
282,YOR382W,2.5222400254878274
283,YOR383C,2.3812029209617447
284,YOR384W,3.2167646235409992
285,YPL221W,3.104838685010337
286,YPL187W,2.643438559207568
287,YPL163C,2.618872507204192
288,YPL154C,2.8323363963983703
289,YPL130W,3.130001693810642
290,YPL087W,3.029748418186595
291,YPL076W,2.8379535691334308
292,YPL006W,3.08352623928334
293,YPR027C,2.8323964503686923
294,YPR071W,3.3793731413046495
295,YPR114W,2.849404333841762
296,YPR153W,4.016760899912442
297,YPR157W,3.5402462518810154
298,YPR192W,3.0578502653380246
